time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
4096,1010.3793103448276,136.82758620689654,1,143,28,,,,,,,,,,
8192,1000.1612903225806,131.9516129032258,2,388,21,0.2,0.0,10,8186.83544921875,15351.60989074707,0.0,2.7415808e-07,1e-05,-1.754332406562753e-05,-1.6094378657639026
12288,1004.2127659574468,130.2127659574468,3,619,19,0.2,0.0,20,7618.4423828125,16610.26625061035,0.0,4.0126906e-07,1e-05,-2.721410637605004e-05,-1.609437310695648
16384,997.6,126.73,4,746,21,0.2,-1.1920928955078125e-07,30,8791.927734375,17607.430603027344,0.0,2.1752203e-07,1e-05,-1.4355155144585297e-05,-1.6094361890107394
20480,990.89,127.2,5,861,23,0.2,-1.1920928955078125e-07,40,8198.2412109375,17179.705801391603,0.0,6.473565e-07,1e-05,-4.450545857253019e-05,-1.6094341803342105
24576,1001.22,129.1,6,976,25,0.2,1.1920928955078125e-07,50,9044.2109375,16731.433685302734,0.0,1.3403769e-07,1e-05,-8.777247421676293e-06,-1.6094318613409997
28672,996.79,128.42,7,1180,24,0.2,0.0,60,8531.57421875,17214.31259765625,0.0,5.603506e-07,1e-05,-3.77404699975159e-05,-1.6094292547553777
32768,975.0,125.09,8,1432,22,0.2,-1.1920928955078125e-07,70,8479.91015625,17049.783364868163,0.0,3.8238068e-07,1e-05,-2.8712561834254303e-05,-1.6094253454357386
36864,957.69,121.53,9,1635,22,0.2,0.0,80,6631.3583984375,16677.718392944334,0.0,1.675653e-07,1e-05,-1.1737817840185016e-05,-1.6094222005456686
40960,935.54,122.05,10,1868,21,0.2,1.1920928955078125e-07,90,10399.0322265625,17180.378686523436,0.0,3.0489173e-07,1e-05,-1.98154946701834e-05,-1.6094186261296273
45056,933.87,121.82,11,2014,22,0.2,-1.1920928955078125e-07,100,8294.970703125,15207.33828125,0.0,3.4281402e-07,1e-05,-2.1353080228436738e-05,-1.6094137702137232
49152,950.98,125.07,12,2151,22,0.2,0.0,110,7895.248046875,16287.965963745117,0.0,4.0407758e-07,1e-05,-2.764089258562308e-05,-1.6094088044017554
53248,948.02,123.44,13,2276,23,0.2,1.1920928955078125e-07,120,8211.2314453125,16742.243920898436,0.0,1.9914296e-07,1e-05,-1.2751572285196744e-05,-1.609404643252492
57344,989.6,125.09,14,2466,23,0.2,1.7881393432617188e-07,130,8568.337890625,16617.502154541016,0.0,1.8448918e-07,1e-05,-1.2587677338160574e-05,-1.6094010069966316
61440,965.04,123.72,15,2746,22,0.2,0.0,140,10547.5302734375,18832.69674987793,0.0,2.8549402e-07,1e-05,-2.088231922243722e-05,-1.609395569562912
65536,966.17,120.63,16,2949,22,0.2,0.0,150,8719.0390625,15713.997198486328,0.0,5.159236e-07,1e-05,-3.214956450392492e-05,-1.6093877080827952
